iter	RMSE
0	9675.717523
1	9360.278902
2	9009.254058
3	8664.105188
4	8342.795823
5	8041.539859
6	7741.024182
7	7472.833013
8	7207.500531
9	6968.426843
10	6733.627253
11	6527.130385
12	6318.154605
13	6120.805553
14	5914.637576
15	5748.597933
16	5563.366079
17	5379.556282
18	5227.38368
19	5066.391753
20	4916.294238
21	4778.673981
22	4642.649721
23	4510.962796
24	4394.440032
25	4265.262913
26	4163.97658
27	4059.664267
28	3956.775552
29	3850.959024
30	3752.098016
31	3668.744346
32	3595.727703
33	3519.845768
34	3442.723672
35	3369.560737
36	3296.575522
37	3238.157593
38	3156.797893
39	3083.235035
40	3026.915625
41	2959.4143
42	2906.59588
43	2852.031702
44	2791.054072
45	2734.39228
46	2690.961816
47	2648.535136
48	2610.677283
49	2570.704898
50	2532.003251
51	2499.102691
52	2465.738319
53	2436.775976
54	2397.22342
55	2358.232695
56	2332.721283
57	2304.768308
58	2283.566424
59	2250.817753
60	2226.67569
61	2202.398097
62	2175.550566
63	2162.663562
64	2146.977851
65	2125.338793
66	2109.47399
67	2094.994346
68	2083.607956
69	2058.507681
70	2031.538226
71	2016.52466
72	2001.381267
73	1981.438129
74	1967.905909
75	1951.53342
76	1937.217097
77	1920.314969
78	1899.168963
79	1888.447303
80	1876.165589
81	1861.164686
82	1848.227857
83	1828.443319
84	1820.276994
85	1809.162139
86	1797.737601
87	1785.813693
88	1773.698774
89	1765.308739
90	1754.864832
91	1748.044217
92	1734.14091
93	1727.804441
94	1717.963007
95	1709.053678
96	1698.80184
97	1692.231262
98	1686.983588
99	1680.403602
100	1672.173154
101	1658.453999
102	1647.84898
103	1635.794753
104	1625.318484
105	1609.19208
106	1602.514
107	1597.243493
108	1582.562463
109	1572.148006
110	1564.894089
111	1562.143588
112	1551.919819
113	1543.242403
114	1541.175194
115	1536.942241
116	1525.832752
117	1519.646784
118	1514.256783
119	1506.223078
120	1497.739097
121	1486.134017
122	1476.988306
123	1468.800974
124	1460.439929
125	1455.078438
126	1454.258037
127	1451.055364
128	1441.914555
129	1432.005211
130	1425.06066
131	1420.423177
132	1415.499533
133	1407.571256
134	1401.483119
135	1393.068709
136	1387.334923
137	1382.952752
138	1375.715961
139	1368.729662
140	1363.476686
141	1359.739807
142	1353.827839
143	1347.397416
144	1344.74828
145	1339.298774
146	1334.917994
147	1329.089363
148	1324.542335
149	1320.475612
150	1315.891197
151	1311.953122
152	1304.576414
153	1301.739909
154	1297.771646
155	1294.483844
156	1291.045068
157	1286.061493
158	1284.309397
159	1280.057026
160	1278.97902
161	1276.312217
162	1271.756895
163	1263.313554
164	1260.883486
165	1255.670903
166	1251.058626
167	1247.394869
168	1244.970303
169	1243.181901
170	1238.743756
171	1236.417258
172	1234.478683
173	1232.717565
174	1230.528645
175	1229.529239
176	1226.670531
177	1225.423514
178	1223.825838
179	1219.645732
180	1218.468559
181	1214.736374
182	1212.621434
183	1208.572558
184	1207.483387
185	1206.546032
186	1205.270223
187	1197.989916
188	1195.173002
189	1190.442043
190	1186.716957
191	1185.007436
192	1182.156151
193	1181.236496
194	1180.100859
195	1178.833708
196	1175.823345
197	1173.691236
198	1172.873999
