iter	Passed	Remaining
0	7	7656
1	11	5535
2	15	5198
3	20	5014
4	24	4891
5	29	4805
6	33	4705
7	37	4648
8	41	4597
9	46	4560
10	50	4530
11	54	4509
12	59	4484
13	63	4470
14	68	4489
15	72	4482
16	77	4478
17	81	4467
18	86	4455
19	90	4441
20	95	4429
21	99	4415
22	103	4399
23	107	4385
24	111	4365
25	116	4357
26	120	4348
27	125	4345
28	129	4333
29	133	4324
30	138	4319
31	142	4311
32	146	4302
33	151	4295
34	155	4284
35	159	4275
36	164	4269
37	168	4262
38	172	4256
39	177	4249
40	181	4246
41	186	4243
42	190	4236
43	194	4229
44	198	4221
45	203	4215
46	207	4210
47	212	4211
48	216	4205
49	221	4199
50	225	4194
51	229	4189
52	234	4182
53	238	4178
54	242	4174
55	247	4170
56	251	4166
57	256	4160
58	260	4155
59	264	4151
60	269	4145
61	273	4139
62	278	4135
63	281	4120
64	286	4115
65	290	4110
66	294	4103
67	299	4098
68	303	4092
69	307	4086
70	311	4081
71	316	4077
72	320	4071
73	325	4066
74	329	4061
75	333	4054
76	337	4048
77	342	4044
78	346	4038
79	350	4033
80	355	4029
81	359	4024
82	363	4019
83	368	4014
84	372	4009
85	376	4002
86	381	3999
87	385	3993
88	389	3987
89	393	3982
90	398	3976
91	402	3971
92	406	3964
93	410	3959
94	415	3954
95	419	3949
96	423	3944
97	427	3939
98	432	3932
99	436	3928
100	440	3924
101	445	3918
102	449	3912
103	453	3908
104	457	3903
105	462	3899
106	466	3893
107	470	3888
108	475	3883
109	479	3878
110	483	3873
111	486	3858
112	490	3853
113	495	3847
114	498	3833
115	502	3828
116	506	3824
117	510	3818
118	515	3815
119	519	3810
120	523	3805
121	527	3799
122	532	3796
123	536	3792
124	540	3786
125	545	3781
126	547	3762
127	551	3757
128	555	3752
129	560	3749
130	564	3744
131	568	3740
132	573	3737
133	577	3735
134	582	3731
135	586	3728
136	591	3726
137	596	3723
138	600	3720
139	605	3718
140	609	3714
141	614	3710
142	618	3707
143	623	3703
144	628	3703
145	632	3699
146	637	3696
147	641	3693
148	646	3691
149	650	3687
150	655	3684
151	659	3680
152	664	3677
153	668	3674
154	673	3670
155	677	3666
156	682	3662
157	686	3660
158	691	3657
159	696	3654
160	699	3647
161	704	3644
162	708	3640
163	713	3637
164	718	3634
165	722	3630
166	727	3627
167	731	3624
168	736	3620
169	740	3617
170	745	3613
171	749	3609
172	754	3605
173	758	3601
174	763	3597
175	767	3593
176	771	3589
177	776	3584
178	780	3580
179	785	3576
180	789	3573
181	794	3569
182	798	3565
183	803	3561
184	807	3556
185	811	3551
186	815	3545
187	820	3542
188	824	3537
189	828	3532
190	832	3527
191	837	3523
192	841	3518
193	845	3513
194	849	3508
195	854	3503
196	858	3498
197	862	3494
198	866	3489
199	871	3484
200	875	3479
201	879	3475
202	883	3470
203	888	3465
204	892	3460
205	896	3455
206	901	3451
207	905	3446
208	909	3441
209	913	3437
210	918	3432
211	922	3427
212	927	3426
213	931	3422
214	936	3419
215	941	3415
216	945	3412
217	950	3408
218	954	3403
219	959	3400
220	963	3396
221	968	3392
222	972	3388
223	976	3383
224	981	3380
225	985	3376
226	990	3372
227	994	3368
228	999	3365
229	1003	3360
230	1008	3356
231	1013	3353
232	1017	3349
233	1022	3346
234	1026	3342
235	1031	3338
236	1035	3335
237	1040	3331
238	1045	3327
239	1049	3324
240	1054	3320
241	1059	3317
242	1063	3313
243	1068	3309
244	1072	3306
245	1077	3301
246	1081	3297
247	1086	3293
248	1090	3289
249	1095	3285
250	1099	3281
251	1104	3277
252	1108	3273
253	1113	3269
254	1117	3265
255	1122	3261
256	1126	3257
257	1131	3253
258	1135	3249
259	1140	3244
260	1144	3240
261	1149	3236
262	1153	3232
263	1157	3227
264	1162	3223
265	1166	3219
266	1171	3215
267	1175	3211
268	1180	3207
269	1184	3203
270	1189	3199
271	1193	3194
272	1198	3191
273	1202	3187
274	1207	3183
275	1211	3178
276	1216	3174
277	1220	3169
278	1225	3166
279	1229	3162
280	1234	3157
281	1238	3153
282	1242	3149
283	1247	3145
284	1252	3141
285	1256	3137
286	1260	3132
287	1265	3128
288	1269	3124
289	1274	3120
290	1278	3115
291	1283	3111
292	1287	3107
293	1292	3103
294	1297	3099
295	1301	3095
296	1305	3090
297	1310	3086
298	1314	3082
299	1320	3080
300	1324	3075
301	1329	3072
302	1333	3068
303	1338	3063
304	1342	3059
305	1347	3055
306	1352	3051
307	1356	3047
308	1361	3044
